text
Отличался тоже умышленным
В самый последний
Свой собственный племенной
Эта наклонность к
"Но случилось так,"
Он даже не
Пред ним стоял
"Лембке обласкал товарища,"
"Оказалось тоже, что"
"Товарищ к нему,"
"На лестнице, довольно"
"Но вместо богатств,"
Фон Лембке помещался
Он встретил гостя
Поговорили и о
Лакей в белом
"Ему подали, но"
"Впрочем, сам предложил,"
Просто-запросто Лембке начинал
Он в то
Но Амалию все-таки
Андрей Антонович не
Всё было сделано
Генерал устроил нарочно
Он всё служил
Давно уже он
Втихомолку от начальства
Зато склеил целый
Кондукторы и служителя
Над этою хитрою
Круг знакомств его
"Наконец, когда уже"
"Умер его дядя,"
"Господин фон Лембке,"
Он очень бы
"Но тут, вместо"
Скромный и аккуратный
"У Юлии Михайловны,"
"С другой стороны,"
"Замечательно, что он"
Ей всё это
Вскорости он получил
"Собираясь к нам,"
"По ее мнению,"
Но все-таки ее
Ей хотелось перелить
Юлия Михайловна даже
С тех пор
"Беда в том,"
Судьба слишком уже
Идея за идеей
"Она питала замыслы,"
Фон Лембке даже
"Первые два, три"
Но тут подвернулся
"Дело в том,"
Молодой человек стал
Фон Лембке стал
"Однажды, возвратясь домой,"
"Тот объяснил, что"
Фон Лембке был
Петр Степанович не
Слабое место состояло
Вообразив в нем
"Тот выслушал, не"
С тех пор
"Узнав о том,"
— Уж не
Фон Лембке решительно
"Кроме того, что"
"Вступая в брак,"
Так всю жизнь
"Он почувствовал, что"
— Сердиться ты
В этом мальчике
Надо дорожить нашею
— Но он
— Я не
"Представь мою роль,"
"Говоря это, фон"
С невинною целию
"Петр Степанович, угадав"
— Но это
"— Нет, не"
"— Но, однако"
Ведь вы же
"— Согласен, согласен,"
— Так какой
— Это не
"Видите, милейший Петр"
"На нас ответственность,"
Мы только сдерживаем
Мы вам не
"Проникнитесь, что мы"
В Англии виги
Что же: мы
Он любил поговорить
Петр Степанович молчал
"— Знаете ли,"
Вся тайна в
Пусть правительство основывает
Я здесь прямо
"Видите, надо, чтобы"
"Выйдет такой стих,"
"Пройдет необходимость, и"
Вот как я
"Я, знаете, уже"
— Вам надо
"— Пожалуй, одного-то"
— Вы... вы
"Пользуясь моей добротой,"
— То есть
— в удивлении
"Юлия Михайловна, выслушав"
— Но не
"Я не знала,"
— Но... но
— вскипел фон
"Кто он, чтобы"
— Садитесь и
"Кармазинов уверял меня,"
А если я
Он предан мне
— Но ведь
"Конечно, это идея..."
— Но ведь
"— Ах, избавьте"
Юлия Михайловна вскипела
Фон Блюм был
"— Пожалуйста, не"
"Фразеры не опасны,"
"Замечу, предупреждая события,"
"День праздника, задуманного"
Около нее вертелись
Подписчиков и жертвователей
"Юлия Михайловна заметила,"
Образовался негласный домашний
Чрезмерная подписка манила
Всё еще не
В Скворешники было
Самой Варваре Петровне
"Трудно решить, почему"
"Ей, вероятно, нравилось,"
Повторю еще раз:
Особенно в дамском
Как бы по
"Наступило что-то развеселое,"
"Потом, когда всё"
"Напротив, очень многие"
Произошло даже несколько
"Устояла, правда, в"
"Я помню, образовался"
В этом интимном
"Молодежь устраивала пикники,"
"Искали приключений, даже"
Их звали насмешниками
"Случилось, например, что"
Боясь мужа и
Тот не только
"Поручик, действительно бедовавший"
Эта возмутительная история
Тут ее тотчас
Она жила у
Ее всё подбивали
"Уверяли, что все"
"Бедняжка смекнула наконец,"
"Неизвестно в точности,"
Юлия Михайловна посердилась
"В другой раз,"
"Но вдруг узнали,"
"Лямшин, почти бывший"
Мигом образовалась компания
Когда молодые показались
"Правда, в дома"
Но тут рассердился
Та тоже рассердилась
Но на другой
— Это в
Но были шалости
В городе появилась
"О ней заговорили,"
Опять тот же
Когда бедная женщина
"Поднялся смех, ропот;"
Книгоношу заперли в
Тут уж Юлия
Штучка в самом
Начиналась она грозными
"Но вдруг, вместе"
2 «Марсельеза» не
Та начинает как
"3
Но уже она"
Ее звуки как-то
"Изредка лишь, прорывом,"
Она смиряется совершенно:
"Наши аплодируют, Юлия"
Степан Трофимович уверял
"Был потом слух,"
"Этот негодяй, который"
Все покатывались со
К тому же
В одно утро
При входе на
У врат ограды
И вот икона
Но главное в
"Положительно известно теперь,"
Тогда никто не
"Постоянно стояла толпа,"
"Подходившие крестились, прикладывались"
На фон Лембке
"Юлия Михайловна, как"
"Помню, в первом"
Подъехал на дрожках
Подъехала и коляска
Молодые люди (из
Оба шляп не
"В народе зароптали,"
Молодец в пенсне
В эту минуту
Она соскочила с
Румянец негодования залил
Затем вынула свой
"— Позволительно, —"
"Народ молчал, не"
Два дня спустя
Она поманила меня
В коляске нашлось
Она хохотала и
В самое последнее
"Действительно, предприятие было"
"Его все посещали,"
"Пожертвования, иногда значительные,"
Никто из этого
Один Лямшин был
Между верховыми я
Этот не уклонялся
"Когда экспедиция поравнялась,"
Мысль поддержали: наши
"Помню, одна из"
Только немногие остались
Нумер застрелившегося был
Это был еще
"Он уже окоченел,"
На столе лежала
Слово «прокутил» так
Тут особенно охал
Из слов того
Ему вверили эти
Приехав три дня
Но стуколки в
Возвратясь в нумер
Но от шампанского
"Проснувшись назавтра, свежий"
"Наконец, вчера, часам"
"Проснувшись, спросил котлетку,"
Никто не заметил
"Должно быть, он"
Бутылка шато-д'икему была
Выстрел был сделан
Крови вытекло очень
"Смерть, должно быть,"
Вообще в каждом
Наши дамы рассматривали
"Один заметил, что"
Третий вдруг брякнул:
"Зато Лямшин, ставивший"
Но остановил прибывший
Так как все
"Всеобщее веселье, смех"
Ворота довольно большого
"Тотчас же узнали,"
"Комната, в которой"
Обыкновенные посетители оставались
Это был довольно
"Одет был по-немецки,"
Из-под сюртука выглядывала
"Я слышал, что"
Он только что
Другого ничего и
Около него сновало
Был еще и
Кроме прислуги присутствовал
На одном из
"На другом столе,"
В комнате было
Прочие посетители все
Все ждали своего
Человека четыре стояли
Стоял он уже
Наши дамы стеснились
Стоявших на коленях
Веселые и жадно-любопытные
Семен Яковлевич спокойно
— изволил он
Все наши засмеялись:
Но Семен Яковлевич
Кушал он чай
Минуя богачей и
"Наливалось тоже разно,"
На этот раз
Толстому же монаху
"— Семен Яковлевич,"
"Помещик, стоявший на"
— указал вдруг
— приказал Семен
— Положили еще
— раздался вдруг
— Исполнили ли
"— Какое, батюшка"
"— завопила вдова,"
"Мальчишка подскочил, схватил"
"«Еще, еще», —"
Монах от монастыря
— Так и
На столе оставалась
— Усладите вперед
— Да что
Они мне мертву
Причетник взял вдову
Тот бросился за
"— Семен Яковлевич,"
"— Семен Яковлевич,"
"— указал вдруг,"
"Монах от монастыря,"
"— Не драться,"
"Помещик, не дожидаясь"
— На месте
— Злато к
— А этому
Слуга налил чаю
"— Длинному, длинному,"
Маврикий Николаевич взял
"Не знаю почему,"
— обратилась к
"— Прошу вас,"
"Слушайте, Маврикий Николаевич,"
Если не станете
"Я не знаю,"
"Маврикий Николаевич растолковывал,"
Он молча передал
"Думаю, что он"
"Может быть, ему"
"Конечно, никто не"
Он стоял на
Но наши не
"Лиза вдруг побледнела,"
"Тут произошла быстрая,"
— вскрикивала она
Она стиснула своими
Она втащила наконец
Дама из нашей
"— произнес вдруг,"
Наши дамы взвизгнули
"И, однако же,"
"Говорят, что когда"
"Надо сказать, со"
"Я видел, как"
"Уверяли, напротив, и"
"Может быть, ей"
"Признаюсь, я сам"
"Помню, однако, что"
"Я, маточка, спешу"
Я уже описывал
Я уже вам
Я так любила
Я так была
"Я сегодня, ангельчик"
Я сегодня чувствую
Я сегодня Федору
Я прочла ваши
Я почти не
Я помню только
Я несказанно рада
Я не просила
Я не могла
"Я не знаю,"
"Я не знала,"
Я не докончила
Я к тому
"Я знаю теперь,"
"Я знала, что"
Я долго стоял
Я долго перечитывал
Я вам уже
Я вам говорила
Я  то
Что это вы
Через полчаса старый
"Хочу писать, а"
Федора принесла мне
Федора мне достала
"Федора говорит, что"
"Умоляю вас, родная"
Уведомляю вас обо
У нас в
Три месяца спустя
Третьего дня был
"Теперь, маточка, вот"
Теперь я к
"Стыдно мне, ясочка"
Старик Покровский целую
"Старик же Покровский,"
"Спешу вас уведомить,"
Со временем я
"Сначала я, такая"
Скоро я перестала
Сегодня я двоюродную
Сего числа случилось
"Свидетельствую, маточка, вам"
С этого дня
С самого раннего
"Рады вы, маточка,"
"Ради бога, бегите"
"Простите же, помните"
"Признательно вам сказать,"
"Представьте себе, маточка,"
Похоронами распорядилась сама
Потом я узнала
Посылаю вам винограду
Последние происшествия и
После долгих вступлений
"Помните, помните вашу"
"Покровский был бедный,"
Пишу я к
"Перед рассветом старик,"
Он заболел два
"О, любите меня,"
"Ну, хорошо, ангельчик"
"Ну, тут уж,"
"Ну, прощайте, дружочек"
"Ну, как вам"
"Ну, Варенька, замечу"
"Ну, в какую"
"Ну, а это,"
"Ну, а какова"
"Ну вот, я"
Но чтоб я
"Но сегодня свежее,"
Но Настенька не
Но когда сын
Но всего более
"Нет, друг мой,"
Несчастия мои начались
Несколько дней спустя
"Недалеко от меня,"
"Не обвиняйте меня,"
"Начну с того,"
Начали гневно: Как
Напишите мне теперь
Наконец я возвратился
"На другой день,"
На другой день
"Мы встретимся, вы"
Мне стало ужасно
Комиссии ваши все
Когда я поворотил
Когда кончилась болезнь
Какой у вас
Каков же теперь
Как я благодарна
Как тяжело было
"К моему счастию,"
Иногда Покровский узнавал
Из груди его
"И, право, не"
"И мне кажется,"
И для чего
"Знаете ли, что"
"Замечу вам, Варвара"
"Заботы, огорчения, неудачи"
Еще раз умоляю
"Друг мой, Макар"
"Дорогой мой, Макар"
"Дорогой друг мой,"
"Доложу я вам,"
Дни проходили за
"Да, маточка, да,"
"Да, впрочем, довольно"
Да ведь это
"Господин Быков сказал,"
"Голубчик мой, Варвара"
"Голубчик мой, Варвара"
"Голубчик мой, Варвара"
"Говоря это, мы"
Говорил я про
Вы мне прислали
Вчера я был
Вот я и
Видите ли что:Сегодня
Вас уважающий и
"Варвара Алексеевна, родная"
"Варвара Алексеевна, маточка"
В эту минуту
В торжественный день
"В следующий вечер,"
"Блажь, блажь, Варенька,"
"Бесценный друг мой,"
"Бесценная моя, Варвара"
Бесценная моя Варвара
Бедный старик не
"Ах, маточка моя,"
"Ангельчик мой, Варвара"
А я вам
"А что, маточка,"
А хорошая вещь
А теперь все
А дома у
А грустное было
и о разных
"и кружева, так"
Глава VII 
что тогда будет
помогая ее семейству
и наконец хотел
"а про то,"
Я было рот
Ходили к нам
Тогда Федора не
пустили в ход
"Ну, послушай: знаешь,"
"Но позвольте, так"
"Нечего было делать,"
"Иное долгое, протяжное,"
"Затем, помнится, я"
"Алексей Иванович, спасите,"
Совратила она и
Тот откланялся и
И после всего
"Я объясняю ей,"
Я было хотел
Я было стал
Только это одно
Покровский рассердился ужасно
На ту пору
"И тут, вероятно,"
И сам бросился
и потом все
И последние слова
"Жена перекрестилась, да"
Жена его заказала
Да что же
"Вот, маточка, вот"
"Вот, маточка, видите"
Вот что хотел
Вот что слышит
"Ах, родная моя,"
"Эта, дескать, крысаиновник"
ужас пройдет по
"продолжал он, не"
и тут же
да таким отрывистым
да и не
"Ну, да я"
"Ну да, от"
"Да так, Варвара"
"О, простите, простите"
"Ну да, "
"Бог видит, что"
"…Владимир вздрогнул, и"
Любо мне шаркать
У меня у
повторял обкельнер с
то они готовы
но не останавливаясь
бросилась в свой
Это значит: села
Тут он по
Тогда и я
Так ведь это
С каждым шагом
Она толкала меня
"Нет, как припоминаю"
Мистер Астлей шел
И потом несколько
И некоторое самодовольствие
"Женский голос, слышите,"
Бабушка прогнала его
толкала меня бабушка
"подумал я, смотря"
"подумал я, но,"
"но, кажется, и"
меня вдруг так
"кричали все, иные"
"и, быстро обернувшись"
"закричал аббатик, с"
Я собрал и
У нас действительно
Наконец он залился
И как ни
"n vrai russe,"
…Так вот я
"Честное слово, отвечал"
Так вот вы
"Посмотрите на небо,"
"Пора теперь, пора"
"Письмо к тебе,"
Но уж теперь
"Настенька, сказал я"
"Да, Настенька, только"
"Да, и мы"
"А не ведаю,"
"А знаете, я,"
"Я люблю тебя,"
Тогда казацкая сабля
"Послушайте,  начал"
"Небо и земля,"
"Ермак,  сказала"
"Видите ли, "
"А что, душечка,"
"vous voir ici,"
Veuve Cominges сидела
Veuve Cominges ей
Tu etais bien
Trente et quarante
"Quant a moi,"
Qu'est ce que
Nous serons toujours
"Nous ferons bombance,"
"mon cher monsieur,"
Mais tu ne
Mais tu as
"mais dis donc,"
Mademoiselle Blanche тогда
Mademoiselle Blanche очень
Mademoiselle Blanche обходилась
Mademoiselle Blanche играла
Mademoiselle Blanche в
Mademoiselle Зельм`а явилась
"Mademoiselle Зельм`а смеялась,"
Mademoiselle Зельм`а еще
Mademoiselle Зельм`а (вместо
il faut que
"Hortense, Cleopatre и"
"Eh bien, за"
"Dis donc, да"
Dis donc qu'est
"cordonnet  шнурок,"
"comme c'est agreable,"
blonde)  шелковые
"Blanche, которая под"
Blanche стала смотреть
Blanche сама повязала
Blanche с негодованием
Blanche очень не
Blanche объявила мне
Blanche и князек
Blanche даже и
Blanche встретила его
Явилась она со
"Я, я принужден"
"Я, признаюсь, подозреваю,"
"Я, Прасковья, тебя"
"Я, отец мой,"
"Я, однако, зашел,"
"Я, однако ж,"
"Я, например, "
"Я, маточка, я"
"Я, маточка, это"
"Я, маточка, уж"
"я, маточка, спешу"
"Я, маточка, сам"
"Я, маточка, почел"
"Я, маточка, попрошу"
"Я, маточка, под"
"Я, маточка, перееду"
"Я, маточка, на"
"Я, маточка, к"
"Я, маточка, и"
"Я, маточка, в"
"Я, маточка моя,"
"я, как русский,"
"Я, кажется, не"
"Я, впрочем, не"
"Я, впрочем, не"
"Я, впрочем, люблю"
"Я, Варенька, старый,"
"Я, Варенька, ничего,"
"Я, бывало, приду"
"Я, ангельчик мой,"
"Я, ангельчик мой,"
"Я, ангел мой,"
"Я явился сам,"
"Я этому верю,"
"Я этого, маточка,"
Я это принял
Я это не
Я это и
я шел впереди
Я шел в
"Я чувствую, я"
"Я чувствую, что"
"Я чувствую, что"
"Я чувствовала, что"
"я читала, сначала,"
я читала его
Я часто думаю
Я целый день
"Я хочу посмотреть,"
"Я хочу знать,"
Я хоть и
я хоть и
Я хотел было
Я хворая от
Я Федоре дам
Я употребляю именно
"Я умру, Варенька,"
Я умею оценить
Я узнаю в
"Я узнал наверное,"
Я уже смотрел
Я уже не
Я уже не
Я уж очень
я уж и
Я уж и
я уж и
Я уж и
Я уж заставила
Я уж более
Я уж бога
"Я уверена, вы"
"Я убежден, что"
"Я трепещу, когда"
Я тотчас спросил
Я тотчас же
Я тотчас же
"Я только слышу,"
Я только простудилась
Я только привязана
Я только и
Я тоже отпустил
Я тоже нахожу
Я тогда про
я тогда еще
Я теперь крою
Я теперь их
Я теперь в
Я там купил
Я так похудела
Я так мало
"Я так живо,"
Я так давно
Я так была
Я схватил все
Я сухо ответил
я стояла перед
Я стоял и
я стоял и
Я старался себе
Я старался всеми
Я стал разом
"Я спросила, много"
Я сорвал и
Я совершенно не
Я со слезами
Я снял шляпу
Я сначала вышел
"я смешалась, потерялась,"
"Я слышал, но"
Я слышал еще
"я сказала, что"
я сижу себе
Я сижу в
Я сегодня пятнадцать
я сегодня обожгла
я себе ото
"Я свое просвистала,"
Я сам это
"Я сам помню,"
Я сам вижу
Я сам был
Я сам был
Я с этой
Я с ужасом
Я с первого
Я решительно не
Я решил в
"Я рассчитал, что"
Я рассказывал целые
Я рассказал ему
Я разменял их
Я раздумала и
"я раздавал горстями,"
Я пятнадцать тысяч
Я прямо сразу
Я прошел к
я против этого
Я протеснился тоже
Я протеснился к
Я просто учитель
я просто мелкий
Я прожил в
Я продумала и
Я проводила его
Я пробовал заговаривать
Я про все
Я пришел к
Я прирос к
"Я припоминаю теперь,"
я приноравливаюсь для
Я принимаю сердечное
Я принесла вам
Я прилегла в
Я привязывался к
"я привыкла, и"
"Я привык, потому"
Я привык к
я при ее
"Я право, не"
я почувствовал это
Я постараюсь раз
"Я поставил, по"
Я поставил самую
Я поставил опять
"Я послушаюсь, что"
Я попробовал было
Я понять не
"Я помню, что"
"Я помню, что"
"Я помню, когда"
"Я помню, в"
"Я помню, в"
Я помню вас
я помнил и
"Я помертвел, оледенел,"
"Я поманил его,"
Я положила непременно
"Я полагаю, не"
Я покажу всему
Я позову сейчас
"я позабуду их,"
Я подошла к
"Я подивился было,"
Я подводила ему
"Я погиб, и"
Я по крайней
Я по глазам
Я питаю глубокое
Я писала бы
Я перестала только
я переменяю ленты
Я очень тревожилась
Я отправился к
Я отнюдь не
"Я открыл теперь,"
Я отказался от
Я отворила ему
"Я отвечаю ему,"
"Я отвечал, наконец,"
Я отвечал опять
Я остановился пред
"Я оскорбила вас,"
"Я объяснил, что"
"Я обхватил ее,"
Я обратился к
Я оборотился к
"Я обернулся и,"
я об этом
Я нового вицмундира
Я ничего не
Я никогда почти
Я никогда не
Я никогда не
Я никогда в
Я никаким образом
"Я немного нездоров,"
Я недоедал и
я не успела
Я не умею
Я не сын
"Я не спорю,"
Я не спорю
"Я не скрывалась,"
Я не про
Я не понимала
"Я не помню,"
"я не помню,"
"я не помню,"
Я не помню
Я не помню
я не могу
Я не могу
я не могла
Я не мог
"Я не знаю,"
"Я не знаю,"
"Я не знаю,"
"я не знаю,"
"Я не знаю,"
"Я не думаю,"
я не докладывал
Я не вытерпел
я не выкупал
Я начала ее
Я начал с
Я начал с
Я нарочно засел
Я наменял до
я наверное знал
Я на это
Я много видел
Я мало отрадного
"Я люблю, люблю"
Я люблю вас
Я люблю без
"Я лучше, думаю,"
Я как ни
Я к тому
Я к тому
Я к тому
Я к тому
Я к тому
Я к тому
Я к нему
я к завтрашнему
"Я к вам,"
Я к вам
Я к вам
"Я интересуюсь только,"
"Я изумилась, не"
Я измучилась от
Я и уши
Я и удостовериться
Я и тогда
я и сама
Я и с
Я и с
"Я и работал,"
Я и прежде
Я и поступил
Я и отвечать
Я и на
Я и каретников
Я и заглянуть
я и думать
я и действительно
"Я знаю, я"
"Я знаю, что"
"Я знаю, что"
"Я знаю, чем"
"Я знаю, чего"
"я знаю, чего"
"Я знаю только,"
Я знаю здесь
"Я знала, что"
"Я знала, что"
Я здесь успел
Я заставил его
"Я заспешила, заторопилась,"
Я засмеялся и
"Я засматривалась, заслушивалась"
"Я заплакала вдруг,"
"я завтра, ангельчик"
Я завтра могу
я за каретой
Я жил в
Я живу в
Я желаю только
Я же свернул
"Я же полагала,"
я же возьму
"Я еще, отец"
Я еще ребенком
Я еще ничего
я еще никогда
Я еще не
Я еще и
"Я Емелю встретил,"
я ей дала
Я ее посредине
я ее не
"Я ее люблю,"
Я едва могла
Я его тотчас
Я его посадил
"Я думаю, я"
"Я думаю, что"
"я думаю, очень"
"Я думаю, его"
"Я думала, что"
"Я думал, что"
"Я думал, что"
Я долго не
"Я долго думала,"
Я до того
я для них
"Я даже согласен,"
"Я даже подозреваю,"
Я даже не
Я даже не
Я даже и
Я даже вам
я даже боялась
Я давно уж
я да хозяйка
Я готова была
Я гордилась беспокойством
Я говорю только
"Я говорил увлекательно,"
я глядела на
Я выходил в
Я вытащил все
Я выиграл и
я выиграл в
"Я вся краснела,"
Я всю ночь
"я встал, подошел"
"Я вспомнил, что"
Я вспомнил твои
Я всеми силами
"Я всегда считала,"
Я все самолюбие
"Я все превозмогу,"
"Я все молчал,"
я все им
"Я все видела,"
Я вошел к
я вошел в
Я вот сейчас
"Я вот посмотрю,"
Я вот какой
Я вот Дрезден
Я вот далеко
Я вот в
"Я воротилась, не"
Я войду в
Я во все
Я внимательно читаю
"Я вижу, что"
"Я видела, что"
"я видел, как"
"Я видел ясно,"
"Я взяла меры,"
я взглянул направо
Я вечно буду
Я весь взволнован
"Я ведь, маточка,"
я ведь это
Я ведь это
Я ведь сам
"Я ведь предупредил,"
я ведь ни
Я ведь наверное
Я ведь и
я ведь и
Я ведь все
Я вдруг вскочил
Я вашу квартиру
Я ваше шитье
"Я вас, как"
Я вас спросила
Я вас разбужу
"Я вам, Варенька,"
Я вам так
"Я вам сказал,"
"Я вам сказал,"
Я вам при
"Я вам писала,"
Я вам откровенно
Я вам откровенно
Я вам откровенно
Я вам о
я вам ее
Я вам даю
"Я вам говорю,"
Я вам все
"Я вам благодарна,"
Я в последнее
Я в мучительном
Я было хотела
Я было хотел
я было схватить
Я было нагнулась
Я было и
Я была такая
Я была слишком
"Я был уверен,"
я был потом
Я был очень
Я был в
"Я бы, по"
"Я бы, например,"
"я бы, говорит,"
"я бы, говорит,"
Я бы пришел
я бы ни
Я бы к
Я бы вас
Я бы вам
Я бы в
Я буду хранить
"я буду стараться,"
Я буду вспоминать
Я буду вам
Я буду adame
Я бросился на
Я бросился в
Я бросилась в
я бросаю письмо
"Я боюсь, чтобы"
"Я больно, раздражительно"
"Я балую, резвлюсь,"
"эх, братец, подумал"
"Эффектная француженка, в"
Эту барыню я
"Этот, так же"
Этот человек решительно
Этот человек меня
Этот человек был
Этот смех очень
"Этот мизер стоил,"
Этот день рождения
Этот день мы
Этому я ни
этому еще не
Этого никогда еще
этого даже и
"Это, что ли,"
"Это, может быть,"
"Это я, я"
это я от
"это я знаю,"
"это я знаю,"
Это я все
Это этот проклятый
Это что у
Это уже по
это уж я
Это уж перешло
Это у него
это у нас
Это только у
"Это так, молодость,"
Это так уже
это так просто
"Это столько проставишь,"
Это совершенное незнание
Это случилось сейчас
Это слово в
Это раздражало меня
"это просто неправдоподобно,"
это почти все
это письмо я
Это очень хорошо:
Это особенный здесь
Это озеро 
Это ни от
Это не с
"Это не рулетка,"
"Это не потому,"
Это можно сообщить
Это лекарство: тотчас
это дьявольское лицо
"Это доказывает, что"
Это доброе дело
Это дело пропорциональное
Это даже сбивало
это гудит самопрялка
это вы очень
это все было
Это была еще
Это был мой
Это был лучший
это будет благоразумнее
это большею частью
Этим старик совершенно
Этим поступком они
Этим они меня
Эти деньги были
"Этакой он, прости"
"Этакой бедняга, горемыка"
этак сесть бы
Эта маленькая катастрофа
"Экипаж, я слышала,"
"Эк, до уничижения"
"Эй, Алексей Иванович,"
"Эдакую кучу, все"
щеки и глаза
Щадите хоть здоровье
"Шутка невинная была,"
"Шутка ли, сколько"
Шляпа и палка
шея и грудь
Шествие наше было
Шел дождь и
"шейте или читайте,"
Шарик долго летал
"Чуть немного распутают,"
"Чуть ветерочек какой,"
Чуть было не
чтобы после только
Чтоб я нагнал
"что, по пословице"
"что, может быть,"
"Что, грех переписывать,"
"что я, старик,"
"что я, видно,"
что я не
Что я кому
Что я вам
"Что это, я"
"что это приличнее,"
Что это лакей
Что это какое
Что это вам
Что солнышко проглянуло
Что со мною
"Что она слуга,"
что она об
Что он этим
что он очень
что он наденет
Что он и
что он вас
что он более
Что мне только
что мне не
Что им за
"Что значит выражение,"
Что за прелесть
Что за люди
"Что же, стало"
Что же это
что же мне
Что же касается
Что же касается
Что же касается
Что же касается
Что же касается
Что же касается
что же касается
Что же касается
Что же до
Что же до
"что ж, может"
"Что ж они,"
Что еще мне
"что ешь, что"
Что ей деньги
что его нужно
что дурные наклонности
Что вы там
"Что вы сделали,"
"Что вы меня,"
что вы затеваете
что все узнали
"что вот, например,"
"Что вот, дескать,"
"Что вот, дескать,"
"Что было, однако,"
что бы он
Что будет делать
что батюшка службы
Чрез парк и
Чрез минуту он
чрез минуту кровь
читал я до
Читал мне новое
Честь имею пребыть
"Черт знает, что"
"Черт возьми, тут"
Через час времени
Через полчаса возвратившись
Чем я могу
"Чем это кончится,"
Чем он для
Чем бы тут
Человека могу обрести
Человек он был
"Человек девять бросилось,"
Человек весь в
"Чего я тут,"
Чего же мне
Чего же ждать
Чего еще они
Чаще же приходить
Часы на все
часто я даже
Часто Покровский давал
Часто не спала
часто был близок
Час спустя оба
чай пивал не
Цена всех одиннадцати
Целых три дня
целые полгода на
целую все ваши
Целую вашу ручку
"Целую ваши пальчики,"
Целое утро мне
"Худая, как общипанный,"
"Христос с вами,"
"Хочется, видно, вам,"
Хотя кругом стола
"Хоть и случалось,"
Хоть десять страниц
Хотел было себя
Хотел было прощения
Хотел было без
"Хорошо сделали, что"
"Хорошо сделала Федора,"
Хорошо жить на
Хорошо было нам
Хорошая была она
"Холодно, голодно, а"
"холод такой, ноги"
"Хозяйка презирает меня,"
"Хозяйка наша, "
Хозяйка наша сама
Хозяйка наша отчасти
Хозяйка меня чуть
"Ходят люди, да"
"ходит, бедная, в"
ходит в таком
ходили бы вы
Ходил я покупать
"Хлещи сам, а"
характер его совсем
"французик, англичанин и"
Французик оглядывал меня
Француз редко натурально
Француз пошел прямее
"Француз перенесет оскорбление,"
"Француз небрежно слушал,"
Федосья и Марфа
"Федора, разумеется, не"
Федора упрашивала его
Федора только головой
Федора тоже в
"Федора сказала, что"
"Федора продает ковер,"
Федора помогла мне
Федора о своих
Федора мне на
Федора за меня
Федора ему указала
Федора достала и
Федора давно уже
Федора готовит очень
"Федора говорит, что"
"Федора говорит, что"
"Федора говорит, что"
"Федора говорит, что"
Федора вышла в
Федора все преувеличивает:
Фатер благословляет сорокалетнего
"участь ее решается,"
Утром пройдешься по
"Утром встанешь свежа,"
"Утро было осеннее,"
Усталость отняла у
"Устал я ужасно,"
"успокойтесь, лягте, засните"
"Успокойте меня, если"
Услышала я тоже
"уронила нечаянно, и"
Упав на двенадцать
"умоляю вас, не"
Улыбкой одной моей
"укусишь, так вспухнет,"
"Уйдет, бывало, но"
"Узнав, что бабушка"
"Узнав, что бабушка"
"узнав же, что"
"уж я, право,"
уж я застенчив
"уж это, знать,"
уж это мое
Уж эти мне
"Уж что хорошо,"
"Уж такой честный,"
Уж такое дело
уж он к
Уж несколько лет
Уж не скандала
Уж не проведали
Уж мы так
уж как взялся
Уж за одно
"Уж бог знает,"
Удовольствие проглядывало в
Удивительно и смешно
Увидя одну богатейшую
Увидел наконец я
"Уверяю вас, вы"
"Уважаем начальством, и"
У себя же
У самого Воскресенского
У них уж
у них удивительное
у них только
У них там
У них сирота
"У ней, говорят,"
у ней уже
У него там
у него сверкали
у него есть
У него было
У нас у
у нас теперь
У нас вам
У нас в
У мичмана даже
"у меня, бывало,"
У меня три
У меня теперь
У меня там
у меня там
У меня случились
У меня сердце
у меня сердце
У меня своих
У меня ни
У меня кусок
У меня за
У меня еще
У меня было
У меня была
У матушки просить
У каждого эдакого
У Амальхен уж
"У актрисочки, точно,"
"Тяжело то, что"
"Тысяч шесть, что"
тыкал пальцем в
"Ты, Прасковья, мне"
"ты, дескать, не"
"ты, дескать, на"
"Ты умно делаешь,"
Ты увидишь таких
"Ты ничего, ничего"
Ты мне их
Тут я ему
Тут уж я
Тут уж все
Тут теперь главное
Тут речь идет
"Тут он так,"
Тут он расспрашивал
Тут он объявил
Тут он захохотал
Тут наши сто
Тут могут быть
Тут много надо
Тут именно по
Тут именно должно
тут же показалось
Тут же подумал
Тут даже приличий
Тут банк отвечает
"Тут  ну,"
трудно угодить на
Тридцать копеек серебром
точно так же
Тотчас я послала
Тотчас же отгородили
Тотчас же за
"Тотчас же брошу,"
тот обещался мне
"Тоска его высосет,"
"тонким, как лист,"
тонкий осенний иней
Тон француза со
Тому определено быть
"Только я, маточка,"
Только что скончался
только что прошло
Только что звякнула
Только что вышел
Только уж так
Только ты ему
"Только смотри, чтоб"
Только сердце его
только сами они
"Только помню, очень"
Только опять все
Только одно мое
Только одна Blanche
"только и делаю,"
"только и делала,"
"только знаю то,"
"Только жалко, ох,"
"Только душу ломит,"
только генералу несдобровать
Только вот что:
только вот видите
Только бы вы
Только барон слегка
"Толстый польский пан,"
"тоже, должно быть,"
"Тоже уведомляю вас,"
Тоже ждут благонравно
Тогда сколько вам
Тогда сам господь
Тогда мне стало
"тогда вы увидите,"
Тогда все становится
То останавливались и
"То она вздохнет,"
То начинал я
То Настенька вдруг
"то есть, я"
